zip,lat,lon,city
35004,33.603543,-86.466833,MOODY
35005,33.578097,-86.987228,ADAMSVILLE
35006,33.437653,-87.207592,ADGER
35007,33.193415,-86.794377,ALABASTER
35010,32.930079,-85.805026,ALEXANDER CITY
35011,32.990191,-85.958001,ALEXANDER CITY
35013,33.922162,-86.449262,ALLGOOD
35014,33.403969,-86.233878,ALPINE
35015,33.544622,-86.929208,ALTON
35016,34.393855,-86.365403,ARAB
35019,34.265451,-86.712779,BAILEYTON
35020,33.441602,-86.88857,BESSEMER
35021,33.544622,-86.929208,BESSEMER
35022,33.352745,-86.968328,BESSEMER
35023,33.478989,-86.944763,BESSEMER
35031,34.091285,-86.559625,BLOUNTSVILLE
35032,33.256886,-86.338572,BON AIR
35033,33.957886,-87.003767,BREMEN
35034,32.989499,-87.220392,BRENT
35035,33.016616,-86.9598,BRIERFIELD
35036,33.63628,-86.916202,BROOKSIDE
35038,33.804411,-87.202136,BURNWELL
35040,33.138832,-86.725315,CALERA
35041,33.64672,-86.931818,CARDIFF
35042,32.948233,-87.139316,CENTREVILLE
35043,33.298238,-86.656328,CHELSEA
35044,33.245885,-86.364148,CHILDERSBURG
35045,32.856632,-86.652875,CLANTON
35046,32.886365,-86.648931,CLANTON
35048,33.544622,-86.929208,CLAY
35049,33.977816,-86.55985,CLEVELAND
35051,33.232849,-86.554849,COLUMBIANA
35052,33.589518,-86.392283,COOK SPRINGS
35053,34.044614,-87.051404,CRANE HILL
35054,33.529643,-86.300691,CROPWELL
35055,34.111067,-86.853185,CULLMAN
35056,34.196448,-86.895226,CULLMAN
35057,34.087769,-86.944713,CULLMAN
35058,34.209766,-86.752029,CULLMAN
35060,33.558905,-86.929443,DOCENA
35061,33.460807,-86.960864,DOLOMITE
35062,33.735709,-87.054641,DORA
35063,33.827269,-87.027469,EMPIRE
35064,33.475407,-86.925391,FAIRFIELD
35068,33.601739,-86.826491,FULTONDALE
35070,34.005773,-86.74995,GARDEN CITY
35071,33.70615,-86.848289,GARDENDALE
35072,33.058725,-86.079106,GOODWATER
35073,33.659545,-86.801693,GRAYSVILLE
35074,33.202691,-87.118044,GREEN POND
35077,34.034276,-86.841753,HANCEVILLE
35078,33.199274,-86.459291,HARPERSVILLE
35079,33.953352,-86.745469,HAYDEN
35080,33.266341,-86.901975,HELENA
35082,33.116229,-86.138624,HOLLINS
35083,34.152149,-86.791286,HOLLY POND
35085,32.970056,-86.734146,JEMISON
35087,34.272537,-86.576125,JOPPA
35089,32.934298,-86.095801,KELLYTON
35091,33.769928,-86.800573,KIMBERLY
35094,33.51828,-86.584472,LEEDS
35096,33.445821,-86.255605,LINCOLN
35097,33.904975,-86.626094,LOCUST FORK
35098,34.137678,-87.026554,LOGAN
35111,33.299704,-87.048881,MC CALLA
35112,33.695814,-86.46564,MARGARET
35114,33.337916,-86.733796,MAYLENE
35115,33.136658,-86.883586,MONTEVALLO
35116,33.727106,-86.763967,MORRIS
35117,33.637322,-86.875181,MOUNT OLIVE
35118,33.536339,-87.051031,MULGA
35119,33.650832,-86.769698,NEW CASTLE
35120,33.657096,-86.38336,ODENVILLE
35121,33.968171,-86.5535,ONEONTA
35123,33.544622,-86.929208,PALMERDALE
35124,33.293157,-86.767961,PELHAM
35125,33.592484,-86.325995,PELL CITY
35126,33.72988,-86.645081,PINSON
35127,33.549138,-86.884204,PLEASANT GROVE
35128,33.587299,-86.336607,PELL CITY
35130,33.721814,-87.124359,QUINTON
35131,33.715229,-86.24746,RAGLAND
35133,33.845846,-86.586724,REMLAP
35135,33.622079,-86.221589,RIVERSIDE
35136,32.897085,-86.156068,ROCKFORD
35137,33.206302,-86.781162,SAGINAW
35139,33.711096,-86.975856,SAYRE
35142,33.406869,-86.87347,SHANNON
35143,33.080188,-86.550392,SHELBY
35144,33.28241,-86.683891,SILURIA
35146,33.705871,-86.403202,SPRINGVILLE
35147,33.419068,-86.544426,STERRETT
